,TITLE,LINK
0,'Frustrated' - Manchester United dealt major injury blow,https://www.manchestereveningnews.co.uk/sport/football/frustrated-manchester-united-dealt-major-29833114
1,LUCKHURST: United mulling over Raheem Sterling transfer deadline day move,https://www.manchestereveningnews.co.uk/sport/football/transfer-news/manchester-united-mulling-over-raheem-29830845
2,LUCKHURST: One of the worst contracts United have negotiated could cost them more than £6m,https://www.manchestereveningnews.co.uk/sport/football/one-worst-contracts-manchester-united-29818358
3,"Man United transfer news LIVE Raheem Sterling claim, Jadon Sancho update, McTominay latest",https://www.manchestereveningnews.co.uk/sport/football/transfer-news/man-united-transfer-news-live-29814549
4,MARSHALL: Erik ten Hag has sold more United players than he has signed - and three more could go,https://www.manchestereveningnews.co.uk/sport/football/erik-ten-hag-sold-more-29828520
5,Jadon Sancho deadline day transfer in limbo as Man United consider sixth incoming,https://www.manchestereveningnews.co.uk/sport/football/transfer-news/jadon-sancho-deadline-day-transfer-29834861
6,Man United make 'late ditch' attempt to secure Jadon Sancho exit as transfer move 'rejected',https://www.manchestereveningnews.co.uk/sport/football/transfer-news/man-united-make-late-ditch-29835042
7,The shirt numbers available for Manuel Ugarte and Man United deadline day signings,https://www.manchestereveningnews.co.uk/sport/football/transfer-news/shirt-numbers-available-manuel-ugarte-29833143
8,Manchester United could make good on Sir Jim Ratcliffe's transfer window prediction,https://www.manchestereveningnews.co.uk/sport/football/manchester-united-could-make-good-29831621
9,Seven deals Manchester United could still complete on transfer deadline day,https://www.manchestereveningnews.co.uk/sport/football/seven-deals-manchester-united-could-29833025
10,Man United must avoid major £45m Ivan Toney transfer mistake in Chelsea battle,https://www.manchestereveningnews.co.uk/sport/football/transfer-news/man-united-must-avoid-major-29822540
11,RAILSTON: McTominay was flawed at United - but what he did at Carrington was priceless,https://www.manchestereveningnews.co.uk/sport/football/football-news/scott-mctominay-flawed-manchester-united-29818275
12,Why Christian Eriksen hasn't left Manchester United in summer transfer window,https://www.manchestereveningnews.co.uk/sport/football/football-news/christian-eriksen-hasnt-left-manchester-29821837
13,Manuel Ugarte shows true colours with Darwin Nunez remark as Man United close on £50m deal,https://www.manchestereveningnews.co.uk/sport/football/football-news/manchester-united-ugarte-transfer-nunez-29823796
14,RAILSTON: United fans frustrated with Sir Jim Ratcliffe cuts impacting MUTV academy coverage,https://www.manchestereveningnews.co.uk/sport/football/football-news/manchester-united-fans-frustrated-sir-29816678
15,LUCKHURST: United hold Raheem Sterling transfer talks with Chelsea,https://www.manchestereveningnews.co.uk/sport/football/transfer-news/manchester-united-hold-raheem-sterling-29820032
16,'Going to be difficult' - Matthijs de Ligt gives honest answer about Manchester United progress this season,https://www.manchestereveningnews.co.uk/sport/football/football-news/going-difficult-matthijs-de-ligt-29821471
17,Exclusive: Sir Dave Brailsford meeting former United staff as 'brutal' changes planned,https://www.manchestereveningnews.co.uk/sport/football/football-news/sir-dave-brailsford-meeting-former-28459398
18,Jack Fletcher is already ahead of father Darren in his development at United,https://www.manchestereveningnews.co.uk/sport/football/jack-fletcher-already-ahead-father-28454634
19,Scoring 100 goals a season and sharing a Roy Keane trait - Dan Gore's United journey,https://www.manchestereveningnews.co.uk/sport/football/football-news/scoring-100-goals-season-sharing-28278214
20,Exclusive - United make decision on Amad's future,https://www.manchestereveningnews.co.uk/sport/football/transfer-news/manchester-united-make-decision-amad-28461513
21,MARSHALL: Manuel Ugarte interview shows why he might be worth Liverpool gamble for United,https://www.manchestereveningnews.co.uk/sport/football/manuel-ugarte-interview-shows-might-29824705
22,Man United told Ivan Toney decision as Brentford transfer hint made before deadline day,https://www.manchestereveningnews.co.uk/sport/football/transfer-news/man-united-told-ivan-toney-29833853
